State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,20-02-2020,2000,2400,2200,26
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,17-12-2021,2600,3200,2900,26
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,04-11-2021,3000,3500,3250,26
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,09-01-2020,2200,2400,2300,26
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,26-02-2023,3200,3700,3400,26
Maharashtra,Thane,Kalyan,Chili Red,Other,FAQ,23-02-2023,3200,3600,3400,26
